joint_p	ref_r
1.0639845936367794e-20	-0.9795340128313637
1.1457574061407917e-10	-0.9590680256627274
2.4141221004006276e-07	-0.9386020384940911
1.098488506287886e-05	-0.9181360513254547
0.0001082442967554131	-0.8976700641568185
0.0004969430441038557	-0.8772040769881821
0.001475183951335845	-0.8567380898195458
0.003335150686435982	-0.8362721026509095
0.00628894563716307	-0.8158061154822732
0.010444723391743937	-0.7953401283136369
0.015817006757117946	-0.7748741411450006
0.022350665139728717	-0.7544081539763643
0.029945905651703162	-0.733942166807728
0.03847889720890681	-0.7134761796390916
0.04781679985742805	-0.6930101924704553
0.05782778081795194	-0.672544205301819
0.06838714277167188	-0.6520782181331828
0.07938067613148535	-0.6316122309645464
0.09070614241684252	-0.6111462437959101
0.10227356327948	-0.5906802566272737
0.11400478927521876	-0.5702142694586374
0.1258326683403673	-0.5497482822900012
0.13770002254748515	-0.5292822951213648
0.1495585643496279	-0.5088163079527286
0.16136783131153715	-0.48835032078409224
0.17309418393320408	-0.4678843336154559
0.1847098890455181	-0.44741834644681955
0.19619229740349717	-0.4269523592781833
0.2075231157299844	-0.40648637210954697
0.21868776866355166	-0.3860203849409106
0.22967484355349307	-0.3655543977722744
0.24047560996738826	-0.34508841060363804
0.2510836055707933	-0.3246224234350017
0.26149428033922534	-0.30415643626636546
0.27170469163614414	-0.2836904490977291
0.28171324339035925	-0.26322446192909277
0.2915194633423692	-0.24275847476045653
0.30112381304868635	-0.2222924875918202
0.31052752600701883	-0.20182650042318384
0.3197324698790329	-0.1813605132545475
0.32874102933624155	-0.16089452608591126
0.3375560065388151	-0.14042853891727491
0.34618053668031823	-0.11996255174863857
0.3546180163986491	-0.09949656458000233
0.36287204317053146	-0.07903057741136599
0.370946364079573	-0.05856459024272964
0.37884483258173623	-0.03809860307409341
0.38657137209210535	-0.01763261590545706
0.394129945387761	0.002833371263179174
0.4015245289673716	0.02329935843181552
0.40875909163242696	0.043765345600451866
0.4158375766609004	0.06423133276908821
0.4227638870342345	0.08469731993772456
0.42954187325515236	0.1051633071063609
0.43617532335886233	0.12562929427499703
0.44266795477538623	0.14609528144363337
0.44902340774735794	0.16656126861226972
0.4552452400469055	0.18702725578090607
0.46133692276805804	0.2074932429495424
0.46730183699828964	0.22795923011817876
0.4731432711949206	0.24842521728681488
0.4788644191095962	0.2688912044554512
0.4844683781171899	0.2893571916240876
0.48995814781440195	0.3098231787927239
0.4953366287579051	0.33028916596136026
0.5006066212118945	0.3507551531299966
0.50577082376969	0.37122114029863296
0.5108318317027267	0.3916871274672691
0.515792134871441	0.4121531146359054
0.5206541150040692	0.4326191018045418
0.5254200421082321	0.4530850889731781
0.5300920697219109	0.47355107614181446
0.5346722286285293	0.4940170633104508
0.5391624185457793	0.5144830504790869
0.5435643971353551	0.5349490376477233
0.5478797654492631	0.5554150248163596
0.5521099485950368	0.575881011984996
0.5562561699154818	0.5963469991536324
0.5562561699154818	0.5963469991536324
0.5600747089574666	0.615568570622507
0.5638206503138079	0.6347901420913817
0.5674943179932963	0.6540117135602563
0.5710957051123828	0.673233285029131
0.5746243857855096	0.6924548564980056
0.5780793912676936	0.7116764279668804
0.5814590325180509	0.730897999435755
0.584760640400819	0.7501195709046296
0.5879801755899661	0.7693411423735043
0.5911116254575094	0.788562713842379
0.5941460392055283	0.8077842853112536
0.5970699206333903	0.8270058567801282
